Wavelength(nm)	n	k
1275	5,60891	0,8604
1277,5	5,60658	0,85473
1280	5,60415	0,84913
1282,5	5,60163	0,84361
1285	5,59902	0,83816
1287,5	5,59634	0,8328
1290	5,59359	0,82753
1292,5	5,59076	0,82234
1295	5,58787	0,81723
1297,5	5,58492	0,81221
1300	5,58191	0,80727
1302,5	5,57884	0,80242
1305	5,57573	0,79766
1307,5	5,57257	0,79298
1310	5,56937	0,78839
1312,5	5,56614	0,78388
1315	5,56286	0,77946
1317,5	5,55955	0,77513
1320	5,55622	0,77087
1322,5	5,55285	0,7667
1325	5,54946	0,76262
1327,5	5,54605	0,75861
1330	5,54262	0,75469
1332,5	5,53917	0,75084
1335	5,5357	0,74708
1337,5	5,53222	0,74339
1340	5,52873	0,73977
1342,5	5,52523	0,73624
1345	5,52172	0,73278
1347,5	5,5182	0,72939
1350	5,51468	0,72607
1352,5	5,51116	0,72283
1355	5,50763	0,71966
1357,5	5,5041	0,71656
1360	5,50057	0,71352
1362,5	5,49704	0,71055
1365	5,49352	0,70766
1367,5	5,48999	0,70482
1370	5,48647	0,70205
1372,5	5,48296	0,69935
1375	5,47945	0,69671
1377,5	5,47595	0,69413
1380	5,47246	0,69161
1382,5	5,46897	0,68916
1385	5,4655	0,68676
1387,5	5,46203	0,68443
1390	5,45858	0,68215
1392,5	5,45513	0,67993
1395	5,4517	0,67777
1397,5	5,44828	0,67566
1400	5,44487	0,67361
1402,5	5,44148	0,67162
1405	5,4381	0,66968
1407,5	5,43473	0,66779
1410	5,43139	0,66596
1412,5	5,42805	0,66418
1415	5,42474	0,66245
1417,5	5,42144	0,66078
1420	5,41815	0,65916
1422,5	5,41489	0,65758
1425	5,41164	0,65606
1427,5	5,40842	0,65459
1430	5,40521	0,65317
1432,5	5,40202	0,6518
1435	5,39886	0,65047
1437,5	5,39571	0,6492
1440	5,39259	0,64797
1442,5	5,38949	0,64679
1445	5,38641	0,64566
1447,5	5,38335	0,64457
1450	5,38032	0,64354
1452,5	5,37732	0,64254
1455	5,37434	0,6416
1457,5	5,37138	0,64069
1460	5,36845	0,63984
1462,5	5,36555	0,63902
1465	5,36268	0,63825
1467,5	5,35983	0,63753
1470	5,35702	0,63685
1472,5	5,35423	0,63621
1475	5,35148	0,63561
1477,5	5,34875	0,63506
1480	5,34606	0,63454
1482,5	5,3434	0,63407
1485	5,34078	0,63364
1487,5	5,33818	0,63325
1490	5,33563	0,6329
1492,5	5,33311	0,63259
1495	5,33063	0,63231
1497,5	5,32818	0,63207
1500	5,32577	0,63188
1502,5	5,3234	0,63171
1505	5,32108	0,63159
1507,5	5,31879	0,6315
1510	5,31654	0,63144
1512,5	5,31434	0,63142
1515	5,31218	0,63143
1517,5	5,31007	0,63147
1520	5,308	0,63154
1522,5	5,30598	0,63165
1525	5,304	0,63178
1527,5	5,30208	0,63194
1530	5,3002	0,63213
1532,5	5,29837	0,63234
1535	5,29659	0,63258
1537,5	5,29487	0,63285
1540	5,29319	0,63313
1542,5	5,29157	0,63344
1545	5,29	0,63376
1547,5	5,28849	0,63411
1550	5,28703	0,63447
1552,5	5,28563	0,63485
1555	5,28429	0,63524
1557,5	5,283	0,63565
1560	5,28177	0,63606
1562,5	5,2806	0,63649
1565	5,27949	0,63692
1567,5	5,27844	0,63735
1570	5,27745	0,63779
1572,5	5,27651	0,63824
1575	5,27564	0,63868
1577,5	5,27483	0,63912
1580	5,27408	0,63955
1582,5	5,27339	0,63998
1585	5,27275	0,6404
1587,5	5,27218	0,64081
1590	5,27167	0,64121
1592,5	5,27122	0,6416
1595	5,27083	0,64196
1597,5	5,27049	0,64231
1600	5,27022	0,64264
1602,5	5,27	0,64295
1605	5,26984	0,64323
1607,5	5,26973	0,64348
1610	5,26968	0,6437
1612,5	5,26968	0,6439
1615	5,26973	0,64406
1617,5	5,26984	0,64418
1620	5,26999	0,64427
1622,5	5,27019	0,64431
1625	5,27044	0,64432
1627,5	5,27073	0,64429
1630	5,27107	0,64421
1632,5	5,27145	0,64408
1635	5,27187	0,64391
1637,5	5,27232	0,64368
1640	5,27281	0,64341
1642,5	5,27333	0,64309
1645	5,27389	0,64271
1647,5	5,27447	0,64228
1650	5,27508	0,64179
1652,5	5,27571	0,64125
1655	5,27637	0,64066
1657,5	5,27704	0,64
1660	5,27773	0,63929
1662,5	5,27844	0,63852
1665	5,27915	0,6377
1667,5	5,27988	0,63681
1670	5,28061	0,63587
1672,5	5,28135	0,63487
1675	5,28209	0,63381
1677,5	5,28283	0,63269
1680	5,28357	0,63152
1682,5	5,2843	0,63029
1685	5,28503	0,629
1687,5	5,28574	0,62766
1690	5,28645	0,62626
